City,Date,Temperature_Max,Temperature_Min,Apparent_Temperature_Max,Apparent_Temperature_Min,Precipitation,Rainfall,Weather_code,WindSpeed,WindGusts,WindDirection,PM2.5,PM10,NO2,SO2,CO,O3,AQI,Month,Season
Delhi,01-01-2018,19.9,6.8,17.7,4.9,0,0,0,9.5,19.1,296,223.3,438.48,336.98,462.84,4.26,385.7,406,1,Winter
Delhi,02-01-2018,19.9,6.6,18.1,4.5,0,0,0,9.5,19.1,294,229.9,451.44,346.94,476.52,4.39,397.1,418,1,Winter
Delhi,03-01-2018,19.8,6.7,17.5,4.5,0,0,0,11,21.6,288,210.1,412.56,317.06,435.48,4.01,362.9,382,1,Winter
Delhi,04-01-2018,20.1,5.5,18,3.1,0,0,0,10.8,18.4,284,201.3,395.28,303.78,417.24,3.84,347.7,366,1,Winter
Delhi,05-01-2018,20.1,6.8,19.3,4.6,0,0,0,9.5,14.4,105,214.5,421.2,323.7,444.6,4.1,370.5,390,1,Winter
Delhi,06-01-2018,19.5,5.2,17.5,3.1,0,0,3,10.1,20.5,307,222.75,437.4,336.15,461.7,4.25,384.75,405,1,Winter
Delhi,07-01-2018,18.9,5.9,15.3,3,0,0,0,17.9,31.3,283,195.25,383.4,294.65,404.7,3.73,337.25,355,1,Winter
Delhi,08-01-2018,19.7,6.6,16.8,3.7,0,0,0,12.8,24.8,284,158.4,311.04,239.04,328.32,3.02,273.6,288,1,Winter
Delhi,09-01-2018,19.9,5.1,16.9,2.5,0,0,0,14,26.3,287,197.45,387.72,297.97,409.26,3.77,341.05,359,1,Winter
Delhi,10-01-2018,21,6.8,17.4,3.8,0,0,0,19.5,33.1,284,193.6,380.16,292.16,401.28,3.7,334.4,352,1,Winter
Delhi,11-01-2018,21.3,7.9,17.6,5,0,0,0,19.1,33.5,282,169.95,333.72,256.47,352.26,3.24,293.55,309,1,Winter
Delhi,12-01-2018,22.1,8.4,19.4,5.5,0,0,1,13.9,25.9,280,163.9,321.84,247.34,339.72,3.13,283.1,298,1,Winter
Delhi,13-01-2018,21.5,5.9,19.4,4,0,0,1,11.2,22,307,197.45,387.72,297.97,409.26,3.77,341.05,359,1,Winter
Delhi,14-01-2018,22.1,6.6,19.3,4.3,0,0,0,12.4,24.1,288,176.55,346.68,266.43,365.94,3.37,304.95,321,1,Winter
Delhi,15-01-2018,22.1,6.4,18.6,4,0,0,0,17.2,31.3,293,182.05,357.48,274.73,377.34,3.48,314.45,331,1,Winter
Delhi,16-01-2018,22.3,8.3,19.6,4.8,0,0,0,15.3,27,281,140.25,275.4,211.65,290.7,2.68,242.25,255,1,Winter
Delhi,17-01-2018,21.5,7.5,19.2,5.2,0,0,0,13.3,25.9,121,194.15,381.24,292.99,402.42,3.71,335.35,353,1,Winter
Delhi,18-01-2018,23.7,8.5,22.8,6.9,0,0,0,9.2,17.6,314,220,432,332,456,4.2,380,400,1,Winter
Delhi,19-01-2018,23.6,9.2,22,7.7,0,0,0,12.6,23.8,300,223.3,438.48,336.98,462.84,4.26,385.7,406,1,Winter
Delhi,20-01-2018,22.5,8.4,18.7,5.8,0,0,0,16.5,30.2,286,177.65,348.84,268.09,368.22,3.39,306.85,323,1,Winter
Delhi,21-01-2018,21.5,6.3,19.6,3.5,0,0,0,10.6,16.6,265,151.8,298.08,229.08,314.64,2.9,262.2,276,1,Winter
Delhi,22-01-2018,21.9,6.8,20.1,5,0,0,0,10.7,19.8,126,188.1,369.36,283.86,389.88,3.59,324.9,342,1,Winter
Delhi,23-01-2018,16.6,11,15,8.7,7,7,61,14.5,30.6,121,178.2,349.92,268.92,369.36,3.4,307.8,324,1,Winter
Delhi,24-01-2018,18.5,7.7,16.6,6.1,1,1,53,14.3,34.2,295,148.5,291.6,224.1,307.8,2.84,256.5,270,1,Winter
Delhi,25-01-2018,19.5,8.6,16.8,6.6,0,0,0,17.1,30.6,290,133.65,262.44,201.69,277.02,2.55,230.85,243,1,Winter
Delhi,26-01-2018,19.7,7.3,18,5.9,0,0,3,13.7,25.6,310,143.55,281.88,216.63,297.54,2.74,247.95,261,1,Winter
Delhi,27-01-2018,19.9,6.9,18,4.8,0,0,0,10,22,305,157.3,308.88,237.38,326.04,3,271.7,286,1,Winter
